dataset,model_name,train_loss,valid_loss,accuracy
Handwriting,FCN,3.1218838691711426,3.1658504009246826,0.14235293865203857
Handwriting,FCNPlus,3.1226470470428467,3.1786630153656006,0.15176470577716827
Handwriting,InceptionTime,2.774362564086914,3.1858677864074707,0.13764706254005432
Handwriting,InceptionTimePlus,2.7692134380340576,3.171480894088745,0.14705882966518402
Handwriting,InCoordTime,3.257535457611084,3.2646682262420654,0.03529411926865578
Handwriting,XCoordTime,3.240025520324707,3.2721874713897705,0.05058823525905609
Handwriting,InceptionTimePlus17x17,3.1291306018829346,3.2259538173675537,0.09647058695554733
Handwriting,InceptionTimePlus32x32,2.6945009231567383,3.158763885498047,0.21176470816135406
Handwriting,InceptionTimePlus47x47,2.3705151081085205,3.1214990615844727,0.12823529541492462
Handwriting,InceptionTimePlus62x62,2.267535924911499,3.0046145915985107,0.3117647171020508
Handwriting,MultiInceptionTimePlus,2.6645872592926025,3.161433219909668,0.22470587491989136
Handwriting,MultiRocket,2.4773447513580322,7.697224140167236,0.21764706075191498
Handwriting,MultiRocketPlus,2.2963900566101074,5.940917491912842,0.25999999046325684
Handwriting,InceptionRocketPlus,1.176221251487732,2.8269832134246826,0.22235293686389923
Handwriting,MLP,3.0154869556427,3.2852652072906494,0.09176470339298248
Handwriting,OmniScaleCNN,3.013277530670166,3.142897844314575,0.12823529541492462
Handwriting,RNN,3.2531261444091797,3.3028147220611572,0.04588235169649124
Handwriting,LSTM,3.2621450424194336,3.256462574005127,0.03647058829665184
Handwriting,GRU,3.2523953914642334,3.255016326904297,0.0470588244497776
Handwriting,RNNPlus,3.242237091064453,3.2907488346099854,0.0376470573246479
Handwriting,LSTMPlus,3.2395589351654053,3.2533113956451416,0.07411764562129974
Handwriting,GRUPlus,3.2539873123168945,3.2565956115722656,0.043529409915208817
Handwriting,RNN_FCN,3.1868484020233154,3.1646432876586914,0.1317647099494934
Handwriting,LSTM_FCN,3.13250994682312,3.1777923107147217,0.17411763966083527
Handwriting,GRU_FCN,3.145134925842285,3.19944167137146,0.1258823573589325
Handwriting,MRNN_FCN,3.1620328426361084,3.189547061920166,0.12941177189350128
Handwriting,MLSTM_FCN,3.1431663036346436,3.199162483215332,0.09529411792755127
Handwriting,MGRU_FCN,3.1252593994140625,3.184239387512207,0.11999999731779099
Handwriting,RNN_FCNPlus,3.168063163757324,3.1872689723968506,0.11764705926179886
Handwriting,LSTM_FCNPlus,3.143418073654175,3.1966047286987305,0.1788235306739807
Handwriting,GRU_FCNPlus,3.1539459228515625,3.1837213039398193,0.12352941185235977
Handwriting,MRNN_FCNPlus,3.160405158996582,3.176900863647461,0.11294117569923401
Handwriting,MLSTM_FCNPlus,3.1234683990478516,3.199436664581299,0.1388235241174698
Handwriting,MGRU_FCNPlus,3.1238362789154053,3.1990232467651367,0.12117647379636765
Handwriting,ResCNN,2.9899346828460693,3.1367526054382324,0.1482352912425995
Handwriting,ResNet,2.8772377967834473,3.113192319869995,0.11411764472723007
Handwriting,ResNetPlus,2.9412856101989746,3.1454246044158936,0.1635294109582901
Handwriting,TCN,3.247199773788452,3.2638649940490723,0.05058823525905609
Handwriting,XCM,3.0092217922210693,3.154975652694702,0.13411764800548553
Handwriting,XCMPlus,3.0271546840667725,3.1522395610809326,0.11529412120580673
Handwriting,xresnet1d18,2.6644787788391113,3.1467697620391846,0.13294117152690887
Handwriting,xresnet1d34,2.7144482135772705,3.1161272525787354,0.13058823347091675
Handwriting,xresnet1d50,1.5583423376083374,2.7766945362091064,0.2670588195323944
Handwriting,xresnet1d101,1.444459319114685,2.7682225704193115,0.251764714717865
Handwriting,xresnet1d152,1.405303716659546,2.6327035427093506,0.27176469564437866
Handwriting,xresnet1d18_deep,2.5840535163879395,3.062406539916992,0.1764705926179886
Handwriting,xresnet1d34_deep,2.5215072631835938,3.0660321712493896,0.12470588088035583
Handwriting,xresnet1d50_deep,1.4035767316818237,2.72129225730896,0.2552941143512726
Handwriting,xresnet1d18_deeper,2.5741281509399414,3.0694570541381836,0.14941176772117615
Handwriting,xresnet1d34_deeper,2.5098984241485596,3.072192430496216,0.14352941513061523
Handwriting,xresnet1d50_deeper,1.374887228012085,2.720309257507324,0.25294119119644165
Handwriting,xresnet1d18plus,2.751875638961792,3.2061758041381836,0.10823529213666916
Handwriting,xresnet1d34plus,2.749403715133667,3.208789587020874,0.08588235080242157
Handwriting,xresnet1d50plus,1.7174277305603027,3.1120617389678955,0.17176470160484314
Handwriting,xresnet1d101plus,1.6625195741653442,3.1210057735443115,0.1576470583677292
Handwriting,xresnet1d152plus,1.6950054168701172,3.085707187652588,0.1541176438331604
Handwriting,xresnet1d18_deepplus,2.703953266143799,3.2135088443756104,0.10235293954610825
Handwriting,xresnet1d34_deepplus,2.6364874839782715,3.211386203765869,0.11294117569923401
Handwriting,xresnet1d50_deepplus,1.8192691802978516,3.201551914215088,0.13411764800548553
Handwriting,xresnet1d18_deeperplus,2.712106704711914,3.220076322555542,0.12235294282436371
Handwriting,xresnet1d34_deeperplus,2.6622321605682373,3.2257516384124756,0.10000000149011612
Handwriting,xresnet1d50_deeperplus,1.8782099485397339,3.1843369007110596,0.09294117987155914
Handwriting,XceptionTime,3.0707345008850098,3.1989243030548096,0.11411764472723007
Handwriting,XceptionTimePlus,3.0567209720611572,3.194807291030884,0.09058823436498642
Handwriting,mWDN,2.704307794570923,3.249783754348755,0.038823530077934265
Handwriting,mWDNPlus,2.7149341106414795,3.2574727535247803,0.0376470573246479
Handwriting,TSSequencer,3.1475114822387695,3.3697667121887207,0.0658823549747467
Handwriting,TSSequencerPlus,3.201197862625122,3.3371851444244385,0.0694117620587349
Handwriting,ConvTran,3.245511293411255,3.338477373123169,0.038823530077934265
Handwriting,ConvTranPlus,3.3202028274536133,3.308312177658081,0.034117646515369415
Handwriting,RNNAttention,1.0998479127883911,3.047827959060669,0.2199999988079071
Handwriting,LSTMAttention,1.1626486778259277,3.1198713779449463,0.23764705657958984
Handwriting,GRUAttention,1.1088230609893799,3.0043702125549316,0.2329411804676056
Handwriting,TransformerRNNPlus,3.234020471572876,3.371593475341797,0.05529411882162094
Handwriting,TransformerLSTMPlus,3.2198386192321777,3.32214093208313,0.0376470573246479
Handwriting,TransformerGRUPlus,3.233372211456299,3.3710267543792725,0.0376470573246479
Handwriting,Hydra,1.2427289485931396,2.4531219005584717,0.33529412746429443
Handwriting,HydraPlus,1.2336061000823975,2.5491716861724854,0.3294117748737335
Handwriting,HydraMultiRocket,2.241635799407959,6.405426979064941,0.2764706015586853
Handwriting,HydraMultiRocketPlus,2.407939910888672,7.032840251922607,0.2388235330581665
